지자체,광역코드,수행기관코드,위수탁기간,이력_2020,이력_2021,이력_2022,이력_2023,이력_2024,이력_2025,이력_2026,시설유형구분,서비스_특화,서비스_응급안전,서비스_방문요양,서비스_재가노인,서비스_사서원소속,서비스_노인일자리,수탁법인명,수탁법인번호,사업자등록번호,고유번호,수행기관명,기관장명,우편번호,주소,배송지우편번호,배송지주소,대표전화,메인연락처,긴급연락처,팩스번호,이메일,복지부배정_전담사,복지부배정_생활사,복지부배정_대상자,현황_전담사_배정,현황_전담사_채용,현황_생활사_배정,현황_생활사_채용,현황_대상자_배정,현황_대상자_제공,공무원_성명,공무원_연락처,공무원_이메일,데이터기준일,기관명_확인
창원시,P14,A48120011,2025-01-01 ~ 2027-12-31 (3년),해당없음,해당없음,해당,해당,해당,해당,해당,협동조합,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,정현사회적협동조합,191551-0006754,376-82-00427,376-82-00427,정현사회적협동조합,한연화,51792,경남 창원시 마산합포구 진동면 서촌길 7 (2층),51792,경남 창원시 마산합포구 진동면 서촌길 7 (2층),055-271-9913,055-271-9913,010-6511-9635,055-271-9914,junghyeon_2020@naver.com,4,55,829,4,4,54,53,817,817,창원시청 주무관,055-225-3614,lucia2392@korea.kr,2026-01-02,정현사회적협동조합
창원시,P14,A48120012,2025-01-01 ~ 2027-12-31 (3년),해당없음,해당없음,해당,해당,해당,해당,해당,노인여가복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,재단법인 한가람문화재단,194222-0000370,308-82-72331,--,진해서부노인종합복지관,조영순,51682,경남 창원시 진해구 태평로 96 (태평동),51682,경남 창원시 진해구 태평로 96 (태평동) 3층 노인맞춤돌봄서비스,055-547-8004,055-547-8004,010-4915-8501,055-552-8004,jhsbcare@naver.com,3,52,778,3,3,48,48,727,727,창원시청 이민정 주무관,055-225-3614,unk9933@korea.kr,2026-01-15,진해서부노인종합복지관
창원시,P14,A48120013,2025-01-01 ~ 2027-12-31 (3년),해당없음,해당없음,해당,해당,해당,해당,해당,노인여가복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,진해노인종합복지관,190131-0003884,609-82-10714,--,진해노인종합복지관,권현수,51630,"경남 창원시 진해구 천자로 434 (풍호동, 진해노인종합복지관)",51630,"경남 창원시 진해구 천자로 434 (풍호동, 진해노인종합복지관)",055-544-7155,055-544-7153,010-7157-9188,055-716-2388,jinhaesw@naver.com,4,46,715,4,4,45,43,717,645,이민정 주무관 (창원시),055)225-3614,,2026-01-07,진해노인종합복지관
창원시,P14,A48120014,2025-01-01 ~ 2027-12-31 (3년),해당없음,해당없음,해당없음,해당없음,해당없음,해당,해당,사단법인,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,경남고용복지센터,194221-0001429,609-82-62420,609-82-62420,경남고용복지센터,정동화,51411,"경남 창원시 성산구 원이대로 450 (중앙동), 창원종합운동장 149-1호",51411,"경남 창원시 성산구 원이대로 450 (중앙동), 창원종합운동장 149-1호",055-261-8533,055-261-8533,010-3886-1944,055-261-8570,knct8533@naver.com,4,39,610,4,4,45,39,747,597,경남 창원시주무관 이민정,055-225-3614,grace4me@korea.kr,2026-01-05,경남고용복지센터
창원시,P14,A48120015,2025-01-01 ~ 2027-12-31 (3년),해당없음,해당없음,해당없음,해당없음,해당없음,해당,해당,사회복지관,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,사회복지법인 대한불교 천태종복지재단,110232-0004686,605-82-83840,605-82-83840,마산회원노인종합복지관,정응석,51313,"경남 창원시 마산회원구 삼호로 227 (석전동, 마산회원노인종합복지관)",51313,"경남 창원시 마산회원구 삼호로 227 (석전동, 마산회원노인종합복지관)",055-713-6890,070-5156-2444,010-3304-3270,055-715-6890,mhswc055@with99.org,2,29,431,2,2,29,26,447,375,이민정,055-2253614,nuk9933@korea.kr,2026-01-06,마산회원노인종합복지관
통영시,P20,A48220002,2025-01-01 ~ 2026-10-26 (2년),해당,해당,해당,해당,해당,해당,해당,사회복지관,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,사회복지법인 천주교마산교구사회복지회,191532-0005144,608-82-15531,612-82-70057,통영시종합사회복지관,박철현,53038,경상남도 통영시 안개4길 94,53038,경상남도 통영시 안개4길 94,055-640-7700,055-640-7728,010-2000-1969,055-646-4446,tywelfare@hanmail.net,4,63,945,4,4,59,58,897,835,남혜경,556504213,lovesh1@korea.kr,2026-01-20,통영시종합사회복지관
통영시,P20,A48220003,2025-01-01 ~ 2026-10-26 (2년),해당없음,해당없음,해당없음,해당,해당,해당,해당,재가노인복지시설,해당,해당,해당,해당,해당없음,해당,(사)통영YWCA,191221-0001571,612-82-69749,--,통영노인통합지원센터,조혜원,53054,"경남 통영시 동충1길 4 (항남동, 통영YWCA) 만석수산3층",53054,"경남 통영시 동충1길 4 (항남동, 통영YWCA) 만석수산3층",055-641-6170,055-641-6170,010-5329-3627,055-641-6174,totalsilver@hanmail.net,7,77,1205,6,7,77,71,1228,1031,남혜경,055-650-4213,dmschd20@korea.kr,2026-01-07,통영노인통합지원센터
하동군,P21,A48850001,2025-01-01 ~ 2027-12-31 (3년),해당,해당,해당,해당,해당,해당,해당,재가노인복지시설,해당,해당없음,해당없음,해당,해당없음,해당없음,경남복지재단,194733-0000278,613-82-13947,--,하동노인통합지원센터,이용백,52329,경상남도 하동군 하동읍 중앙2길10-9(3층),52329,경상남도 하동군 하동읍 중앙2길10-9(3층),055-884-7078,055-884-7078,010-5053-6955,055-884-1203,gnw1203@naver.com,4,54,810,5,4,55,55,845,831,류나현,055-880-2334,skgus759@korea.kr,2026-01-21,하동노인통합지원센터
하동군,P21,A48850002,2025-01-01 ~ 2027-12-31 (3년),해당,해당,해당,해당,해당,해당,해당,지역자활센터,해당,해당없음,해당,해당없음,해당없음,해당없음,(재)마산교구천주교회유지재단,190122-0000102,613-82-60528,--,경남하동지역자활센터,손호연,52326,경상남도 하동군 하동읍 청년회관길 13,52326,경상남도 하동군 하동읍 청년회관길 13,055-884-6955,055-884-6955,010-3834-4757,055-884-6957,hdjahwal@hanmail.net,3,52,780,4,4,54,54,810,754,이가영,055-880-2334,lgy2981@korea.kr,2026-01-21,경남하동지역자활센터
함안군,P22,A48730001,2024-01-01 ~ 2026-12-31 (3년),해당,해당,해당,해당,해당,해당,해당,사단법인,해당없음,해당,해당없음,해당없음,해당없음,해당없음,(사)대한노인회함안군지회,114221-0000493,608-82-64032,608-82-64032,(사)대한노인회함안군지회,이학동,52046,경상남도 함안군 가야읍 중앙남길 67,52046,경상남도 함안군 가야읍 중앙남길 67,055-585-8505,055-585-8505,010-9924-0621,055-585-8507,haman8505@hanmail.net,4,69,1035,4,4,62,62,930,957,황경미,055-580-2363,kongmi0325@korea.kr,2026-01-22,(사)대한노인회함안군지회
함안군,P22,A48730002,2024-01-01 ~ 2026-12-31 (3년),해당,해당,해당,해당,해당,해당,해당,재가노인복지시설,해당,해당,해당없음,해당,해당없음,해당없음,사회복지법인새누리복지재단,190132-0003072,608-82-11461,--,함안군재가노인통합지원센터,진정옥,52004,경상남도 함안군 칠서면 이룡3길 25-43,52004,경상남도 함안군 칠서면 이룡3길 25-43,055-586-1236,055-586-1236,010-3822-1353,055-586-1238,silver1236@hanmail.net,4,69,1035,5,4,69,62,1035,918,한경미,055-580-2363,kongmi0325@korea.kr,2026-01-15,함안군재가노인통합지원센터
함양군,P23,A48870002,2024-01-01 ~ 2026-12-31 (3년),해당없음,해당없음,해당없음,해당없음,해당,해당,해당,사단법인,해당,해당없음,해당없음,해당없음,해당없음,해당없음,사단법인 대한노인회 함양군지회,114221-000493,611-82-06173,611-82-06173,사단법인 대한노인회 함양군지회,이영일,50043,경남 함양군 함양읍 함양남서로 1245 3층,50043,경남 함양군 함양읍 함양남서로 1245 3층,055-963-4165,055-964-9921,010-5055-8206,055-963-4166,dn9921@naver.com,6,96,1440,6,6,84,84,1440,1295,최윤정,055-960-4914,itsok100@korea.kr,2026-01-22,사단법인 대한노인회 함양군지회
합천군,P24,A48890003,2024-01-01 ~ 2026-12-31 (3년),해당,해당,해당,해당,해당,해당,해당,재가노인복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,사회복지법인 회암,195332-0002190,611-82-06834,587-82-00240,미타재가복지센터,성병태,50247,경상남도 합천군 적중면 우회로 1198,50247,경상남도 합천군 적중면 우회로 1198,055-931-2233,055-931-9121,010-3252-0708,055-932-9122,mitasan9029@naver.com,3,48,720,3,3,48,48,735,733,진봉규,055-930-3288,jinbg1128@korea.kr,2026-01-07,미타재가복지센터
합천군,P24,A48890004,2024-01-01 ~ 2026-12-31 (3년),해당없음,해당없음,해당,해당,해당,해당,해당,재가노인복지시설,해당없음,해당,해당없음,해당,해당없음,해당없음,사회복지법인 해창복지재단,195332-0001994,854-82-00382,--,합천노인통합지원센터,서문교,50224,경상남도 합천군 삼가면 삼가로 10-13,50224,경상남도 합천군 삼가면 삼가로 10-13,055-931-1014,055-931-1014,010-8930-1680,055-931-1017,hcsilver1@naver.com,4,64,960,4,4,64,64,977,965,,,,2026-01-21,합천노인복지센터
합천군,P24,A48890005,2024-01-01 ~ 2026-12-31 (3년),해당,해당,해당,해당,해당,해당,해당,재가노인복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,대한불교조계종사회복지재단,110132-0009539,611-80-03487,611-80-03487,코끼리행복복지센터,엄동수,50201,경남 합천군 가야면 가야시장로 98,50201,경남 합천군 가야면 가야시장로 98,055-932-3141,055-932-3141,010-9611-7762,055-932-3143,co3144@hanmail.net,4,50,750,4,4,50,54,767,770,진봉규,055-930-3288,jinbg1128@korea.kr,2026-01-21,코끼리행복복지센터(재가노인복지시설)
합천군,P24,A48890006,2024-01-01 ~ 2026-12-31 (3년),해당없음,해당없음,해당,해당,해당,해당,해당,지역자활센터,해당,해당,해당없음,해당없음,해당없음,해당없음,사회적협동조합 합천지역자활센터,195351-0004237,604-82-63098,--,사회적협동조합 합천종합복지공동체,심춘덕,50239,경남 합천군 대양면 대야로 462 (합천지역자활센터),50239,경남 합천군 대양면 대야로 462 (합천지역자활센터),055-933-3933,055-933-3933,010-5730-0920,055-933-3932,ilovehcjh@hanmail.net,6,85,1275,6,6,85,85,1275,1309,진봉규,055-930-3288,jinbg1128@korea.kr,2026-01-22,사회적협동조합 합천지역자활센터
